UserID,WindowID,Split,City,State,Country,ZipCode,DegreeType,Major,GraduationDate,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany
13,6,Test,Philadelphia,PA,US,19143,Bachelor's,Psychological & Social Sciences,2011-12-01 00:00:00,6,5.0,Yes,No,0
64,6,Train,Columbus,OH,US,43230,Master's,"Business Administration and Management, General",2011-12-01 00:00:00,3,22.0,Yes,No,0
101,6,Train,Brick,NJ,US,08724,High School,Not Applicable,,1,2.0,No,Yes,4
133,6,Train,Wilmington,DE,US,19802,Bachelor's,Sports Management,2003-05-01 00:00:00,6,9.0,Yes,Yes,6
151,6,Train,Norwich,CT,US,06360,,Business,1987-01-01 00:00:00,4,24.0,No,Yes,10
182,6,Train,Lenexa,KS,US,66215,High School,Not Applicable,2008-05-01 00:00:00,3,5.0,Yes,Yes,10
215,6,Train,West Palm Beach,FL,US,33412,Bachelor's,Practical Nursing,2012-03-01 00:00:00,1,1.0,No,No,0
293,6,Train,Wisconsin Rapids,WI,US,54495,Bachelor's,Business Administration / Marketing / Sales Management,1994-08-01 00:00:00,1,17.0,Yes,Yes,18
320,6,Train,Boston,MA,US,02120,Master's,"Regulatory Affairs for Drugs, Biologics and Medical Devices",2012-06-01 00:00:00,5,3.0,Yes,No,0
350,6,Train,Atlanta,GA,US,30340,High School,Not Applicable,,2,8.0,Yes,No,0
379,6,Train,San Diego,CA,US,92135,Bachelor's,Civil Engineering,1984-01-01 00:00:00,9,25.0,Yes,Yes,75
580,6,Train,Alexandria,VA,US,22304,High School,Not Applicable,2009-01-01 00:00:00,2,2.0,No,No,0
732,6,Train,Ridgeland,MS,US,39157,Master's,Public Administration,2008-01-01 00:00:00,5,10.0,Yes,Yes,7
774,6,Train,Huntsville,AL,US,35824,Bachelor's,Communications Management,2001-01-01 00:00:00,4,9.0,No,No,0
794,6,Train,Orlando,FL,US,32825,,Marketing Certification,,4,26.0,Yes,No,0
907,6,Train,Van Nuys,CA,US,91405,Bachelor's,Sociology,,7,9.0,Yes,No,0
944,6,Train,Cypress,TX,US,77429,Associate's,General studies,2006-12-01 00:00:00,2,10.0,No,Yes,15
956,6,Train,Geneseo,NY,US,14454,Master's,Education,2010-10-01 00:00:00,8,3.0,Yes,No,0
1037,6,Train,Euless,TX,US,76040,High School,Not Applicable,,2,11.0,Yes,No,0
1066,6,Test,Westland,MI,US,48185,High School,"Education, General",2003-06-01 00:00:00,2,6.0,Yes,No,0
1072,6,Train,Cedar Park,TX,US,78613,Associate's,Business Management,1999-05-01 00:00:00,5,12.0,No,Yes,5
1075,6,Train,Raleigh,NC,US,27612,Associate's,Teachers,2001-01-01 00:00:00,5,14.0,No,No,0
1085,6,Train,Garner,NC,US,27529,High School,Not Applicable,1993-01-01 00:00:00,8,18.0,Yes,No,0
1107,6,Train,Arlington,TX,US,76002,High School,Not Applicable,2011-01-01 00:00:00,5,3.0,Yes,No,0
1130,6,Train,Salt Lake City,UT,US,84103,High School,Not Applicable,2009-06-01 00:00:00,3,5.0,No,No,0
1139,6,Train,Mechanicsville,VA,US,23111,High School,Not Applicable,2007-01-01 00:00:00,4,7.0,Yes,No,0
1141,6,Train,Jacksonville Beach,FL,US,32250,Bachelor's,Business and Health Science,1982-01-01 00:00:00,7,30.0,Yes,No,0
1200,6,Train,Mesa,AZ,US,85212,High School,Not Applicable,1997-01-01 00:00:00,5,16.0,Yes,No,0
1283,6,Train,Boca Raton,FL,US,33486,Bachelor's,Arts and Humanities,2011-05-01 00:00:00,6,12.0,Yes,No,0
1386,6,Train,Cleveland,OH,US,44120,High School,Not Applicable,,2,0.0,Yes,No,0
1414,6,Train,Knoxville,TN,US,37938,Bachelor's,Nuclear Engineering,2012-05-01 00:00:00,2,1.0,Yes,No,0
1425,6,Train,Orlando,FL,US,32812,,Communication,,3,4.0,No,Yes,4
1430,6,Train,Lowell,MA,US,01854,Bachelor's,Business Management,2004-05-01 00:00:00,3,8.0,Yes,No,0
1533,6,Train,Hacienda Heights,CA,US,91745,High School,Not Applicable,1983-01-01 00:00:00,6,28.0,Yes,No,0
1574,6,Train,Lexington,KY,US,40503,High School,West High,,6,15.0,Yes,Yes,6
1648,6,Train,Camarillo,CA,US,93010,High School,Not Applicable,1996-01-01 00:00:00,5,14.0,No,No,0
1675,6,Train,Las Vegas,NV,US,89144,,"Business Administration and Management, General",1995-01-01 00:00:00,5,19.0,Yes,No,0
1708,6,Train,Galveston,TX,US,77550,Associate's,Electronics,1988-05-01 00:00:00,8,18.0,Yes,No,0
1759,6,Train,Mason,MI,US,48854,,engineering,,3,13.0,No,No,0
1832,6,Train,Laurel,MD,US,20723,Bachelor's,Healthcare Management,2009-05-01 00:00:00,3,8.0,Yes,No,0
1921,6,Train,Glendale,AZ,US,85304,,Certified Medical Assistant,2011-05-01 00:00:00,1,1.0,Yes,No,0
1940,6,Train,Bellingham,MA,US,02019,Bachelor's,Economics and Political Science,2012-05-01 00:00:00,5,6.0,Yes,No,0
2089,6,Train,Bordentown,NJ,US,08505,,Medical Terminology,,4,8.0,No,No,0
2187,6,Train,Colorado Springs,CO,US,80923,Vocational,Computer Science,1986-10-01 00:00:00,6,26.0,Yes,Yes,76
2195,6,Train,Bronx,NY,US,10463,Bachelor's,"Finance, Minor Accounting",,2,3.0,No,No,0
2287,6,Train,Nazareth,PA,US,18064,High School,Not Applicable,1996-01-01 00:00:00,2,9.0,Yes,Yes,15
2364,6,Train,Elk Grove,CA,US,95757,Bachelor's,Business,2007-01-01 00:00:00,7,13.0,No,No,0
2448,6,Train,Arlington,TX,US,76006,High School,Not Applicable,,5,19.0,Yes,Yes,50
2626,6,Train,Arcadia,FL,US,34266,High School,Not Applicable,1994-01-01 00:00:00,1,11.0,No,No,0
2822,6,Train,East Windsor,NJ,US,08512,High School,Not Applicable,2001-06-01 00:00:00,4,11.0,Yes,No,0
2890,6,Train,Indianapolis,IN,US,46231,Associate's,Electronics Systems Technology where I am,2011-06-01 00:00:00,2,8.0,Yes,Yes,12
3096,6,Train,Dallas,TX,US,75249,High School,"Business Administration and Management, General",1970-05-01 00:00:00,3,27.0,No,Yes,8
3109,6,Train,New York,NY,US,10001,Bachelor's,Business Management,1999-01-01 00:00:00,5,12.0,Yes,No,0
3156,6,Train,Detroit,MI,US,48214,Bachelor's,Political Science,2012-05-01 00:00:00,4,6.0,No,No,0
3247,6,Train,Miami,FL,US,33141,Bachelor's,Electrical Engineering,2012-05-01 00:00:00,3,2.0,No,No,0
3307,6,Train,Rock Hill,SC,US,29730,Bachelor's,Music Performance -Voice,2012-05-01 00:00:00,6,6.0,Yes,No,0
3446,6,Train,Rincon,GA,US,31326,,Medical,2004-01-01 00:00:00,8,10.0,No,No,0
3480,6,Train,Lake Zurich,IL,US,60047,High School,Not Applicable,,3,13.0,No,No,0
3531,6,Train,Miami,FL,US,33186,High School,Not Applicable,2002-01-01 00:00:00,3,10.0,Yes,No,0
3572,6,Train,Hickory,NC,US,28601,High School,Not Applicable,2009-01-01 00:00:00,4,4.0,Yes,No,0
3671,6,Train,Princeton Junction,NJ,US,08550,,Two Years Undergraduate Studies,,8,12.0,Yes,No,0
3795,6,Train,Flint,MI,US,48505,High School,Not Applicable,,5,6.0,Yes,No,0
3832,6,Train,Mount Pleasant,MI,US,48858,PhD,Doctorate in Audiology,2012-06-01 00:00:00,7,8.0,Yes,No,0
3859,6,Test,Arlington,TX,US,76014,Bachelor's,Finance,,3,6.0,No,No,0
3885,6,Train,Carrollton,GA,US,30117,Bachelor's,Accounting,,4,4.0,Yes,No,0
3940,6,Train,Elizabeth,NJ,US,07206,High School,Not Applicable,2008-01-01 00:00:00,2,6.0,Yes,No,0
3998,6,Train,Glendale,AZ,US,85308,Bachelor's,Liberal Arts,1996-05-01 00:00:00,7,16.0,No,No,0
4043,6,Train,West Chester,PA,US,19382,Bachelor's,Arts English,2011-12-01 00:00:00,8,9.0,Yes,No,0
4089,6,Train,Jasper,GA,US,30143,High School,Not Applicable,1998-01-01 00:00:00,5,13.0,No,No,0
4109,6,Train,Palm Bay,FL,US,32905,High School,Not Applicable,2002-01-01 00:00:00,8,5.0,Yes,No,0
4130,6,Train,Hattiesburg,MS,US,39401,High School,Not Applicable,1995-01-01 00:00:00,3,11.0,Yes,No,0
4210,6,Train,Windsor,CT,US,06095,High School,Not Applicable,,5,25.0,Yes,No,0
4345,6,Train,Alexandria,LA,US,71302,High School,Not Applicable,2002-01-01 00:00:00,3,2.0,No,No,0
4374,6,Train,Indianapolis,IN,US,46201,High School,Not Applicable,1992-01-01 00:00:00,3,8.0,No,No,0
4413,6,Train,Orlando,FL,US,32817,High School,Not Applicable,2008-01-01 00:00:00,3,7.0,Yes,No,0
4445,6,Train,Arlington,TX,US,76017,Bachelor's,Marketing,2010-05-01 00:00:00,4,8.0,Yes,No,0
4457,6,Train,Downey,CA,US,90241,High School,Not Applicable,2005-01-01 00:00:00,6,8.0,Yes,No,0
4459,6,Train,Fenton,MO,US,63026,Bachelor's,Accounting and Business/Management,2000-01-01 00:00:00,4,26.0,No,No,0
4466,6,Train,Sterling Heights,MI,US,48310,Bachelor's,Biology,,4,6.0,No,No,0
4529,6,Train,Los Angeles,CA,US,90001,Bachelor's,Medical Assistant,2012-06-01 00:00:00,2,4.0,No,Yes,5
4578,6,Train,Indianapolis,IN,US,46227,Master's,Management,2011-01-01 00:00:00,3,18.0,Yes,No,0
4611,6,Train,Wakefield,NE,US,68784,Bachelor's,Aerospace Engineering Bachelor,,5,12.0,No,Yes,8
4655,6,Train,Southfield,MI,US,48076,Bachelor's,Peace and Conflict Studies,,2,3.0,No,No,0
4760,6,Train,Portage,IN,US,46368,High School,Not Applicable,1998-01-01 00:00:00,5,5.0,No,No,0
4818,6,Train,Downey,CA,US,90241,High School,Not Applicable,2000-01-01 00:00:00,3,12.0,No,Yes,15
4822,6,Test,Charlotte,NC,US,28210,High School,Not Applicable,2008-01-01 00:00:00,5,4.0,Yes,No,0
4974,6,Train,Dallas,GA,US,30157,Bachelor's,History,2012-05-01 00:00:00,3,6.0,Yes,No,0
5015,6,Train,Toledo,OH,US,43608,High School,Not Applicable,2002-01-01 00:00:00,6,9.0,Yes,No,0
5052,6,Train,Philadelphia,PA,US,19151,Bachelor's,Business Administration / Human Resources,,7,8.0,Yes,Yes,11
5062,6,Train,West Chester,PA,US,19382,Bachelor's,Communications,1999-06-01 00:00:00,10,18.0,Yes,No,0
5078,6,Train,Denver,CO,US,80230,Bachelor's,University Studies,1990-03-01 00:00:00,5,10.0,Yes,No,0
5124,6,Train,Worcester,MA,US,01604,Associate's,Electronics Engineering Technology,2002-01-01 00:00:00,1,6.0,No,No,0
5210,6,Train,Bradenton,FL,US,34209,Bachelor's,Business Administration,,5,33.0,Yes,No,0
5231,6,Train,Bellevue,WA,US,98006,,bank,,3,9.0,No,No,0
5255,6,Train,Cincinnati,OH,US,45202,Bachelor's,Art Communications,2012-06-01 00:00:00,5,4.0,Yes,No,0
5330,6,Train,Wilton,IA,US,52778,Bachelor's,Electronic Engineering Technology,2007-04-01 00:00:00,3,5.0,Yes,No,0
5380,6,Train,Springfield,OR,US,97477,,Business Management,2012-06-01 00:00:00,4,5.0,Yes,No,0
5435,6,Train,Baltimore,MD,US,21229,,General Studies,2011-01-01 00:00:00,4,5.0,No,Yes,8
5496,6,Train,Minneapolis,MN,US,55414,Master's,Mechanical Engineering,2012-05-01 00:00:00,5,3.0,No,No,0
5499,6,Train,Pittsburgh,PA,US,15213,Master's,Mechanical Engineering,,7,3.0,Yes,No,0
5703,6,Train,Chattanooga,TN,US,37421,High School,Not Applicable,,5,13.0,Yes,No,0
5749,6,Train,Centennial,CO,US,80122,Associate's,Interior Design,2011-05-01 00:00:00,6,6.0,No,No,0
5758,6,Train,Houston,TX,US,77070,Associate's,Information Technology,,3,3.0,Yes,No,0
5845,6,Train,Chicago,IL,US,60608,Bachelor's,Network Administration / Management,2005-01-01 00:00:00,5,14.0,No,No,0
5887,6,Train,Cincinnati,OH,US,45230,High School,Not Applicable,,3,30.0,Yes,No,0
5916,6,Train,Monaca,PA,US,15061,Bachelor's,Early Childhood Education,2012-05-01 00:00:00,8,6.0,Yes,No,0
5989,6,Train,Detroit,MI,US,48224,,General Study,,3,4.0,No,No,0
6037,6,Train,Columbia,TN,US,38401,Associate's,Business,1985-01-01 00:00:00,3,27.0,No,No,0
6051,6,Train,Baltimore,MD,US,21201,High School,Not Applicable,,2,5.0,Yes,No,0
6104,6,Train,Charlotte,NC,US,28273,PhD,General Psychology,,9,10.0,No,No,0
6161,6,Train,Charlotte,NC,US,28213,Bachelor's,Science and Biology,1998-01-01 00:00:00,10,15.0,Yes,No,0
6184,6,Train,West Monroe,LA,US,71291,High School,Not Applicable,2004-01-01 00:00:00,4,9.0,No,No,0
6211,6,Train,Newtown,PA,US,18940,Vocational,General Studies,,1,7.0,No,Yes,10
6228,6,Train,Grand Rapids,MI,US,49506,Bachelor's,Industrial Technology,2005-05-01 00:00:00,5,10.0,Yes,No,0
6238,6,Train,West Palm Beach,FL,US,33407,Bachelor's,Business Administration/Specialization,2006-01-01 00:00:00,5,12.0,Yes,No,0
6359,6,Train,Saint Paul,MN,US,55122,Bachelor's,Management,2012-06-01 00:00:00,5,7.0,Yes,No,0
6378,6,Train,South Ozone Park,NY,US,11420,Vocational,Medical Billing and Coding Specialist,2012-06-01 00:00:00,5,20.0,Yes,No,0
6495,6,Train,Texas City,TX,US,77590,High School,Not Applicable,2005-05-01 00:00:00,2,4.0,No,No,0
6642,6,Train,Thomaston,CT,US,06787,High School,Not Applicable,,8,14.0,Yes,No,0
6660,6,Train,Chicago,IL,US,60647,Associate's,Computer Operations and Data,1989-01-01 00:00:00,3,24.0,No,No,0
6680,6,Train,Indianapolis,IN,US,46260,Bachelor's,Criminal Justice,1984-01-01 00:00:00,3,28.0,No,No,0
6768,6,Train,Alden,IL,US,60001,,Industrial,,2,6.0,Yes,Yes,2
6776,6,Train,Orlando,FL,US,32808,High School,Not Applicable,2004-01-01 00:00:00,5,8.0,No,No,0
6816,6,Train,Jackson,TN,US,38305,High School,Not Applicable,2010-05-01 00:00:00,2,4.0,Yes,No,0
